name,company,stock_code,product,market_date,month,ceo,homepage,region,company_eng,code,codename
건물건설업,한신공영,4960,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",1976-07-07,12월,"태기전,최문규",http://www.hanshinc.com,경기도,한신공영,F,건설업
건물건설업,웰크론한텍,76080,"에너지절감설비,자동화배합설비,환경설비",2008-07-18,12월,이영규,http://www.welcronhantec.co.kr,경기도,웰크론한텍,F,건설업
건물건설업,대우건설,47040,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비대여",2001-03-23,12월,김형,http://daewooenc.co.kr,서울특별시,대우건설,F,건설업
건물건설업,GS건설,6360,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리용역,수출입/에너지관리진단,연구개발",1981-08-03,12월,"허창수,임병용(각자대표이사)",http://www.gsconst.co.kr/,서울특별시,GS건설,F,건설업
건물건설업,신세계건설,34300,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",2002-06-17,12월,윤명규,http://httpswww.shinsegae-enc.com,서울특별시,신세계건설,F,건설업
건물건설업,신한,5450,"건축공사,토목공사,전기공사,통신공사,주택건설,기계설비공사,철골공사/철구조물제조",1978-07-28,12월,조경선,http://www.seco.co.kr,경기도,신한,F,건설업
건물건설업,범양건영,2410,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,12월,강병주,http://www.iby.co.kr,충청남도,범양건영,F,건설업
건물건설업,남화토건,91590,"건축공사,토목공사",2012-01-31,12월,"최상준,최재훈",http://www.namhwaconst.co.kr,전라남도,남화토건,F,건설업
건물건설업,대원,7680,아파트시행및시공,2017-12-01,12월,전응식,http://daewon.co.kr,충청북도,대원,F,건설업
건물건설업,서한,11370,"건축,토목",1994-05-24,12월,조종수,http://www.seo-han.co.kr,대구광역시,서한,F,건설업
건물건설업,HDC,12630,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,정몽규,http://www.i-park.com,서울특별시,HDC,F,건설업
