stock_code,company_eng,codename
278990,파인이엠텍,제조업
27040,서울전자통신,제조업
4920,씨아이테크,제조업
54090,삼진엘앤디,제조업
192440,슈피겐코리아,제조업
194610,우성아이비,제조업
21050,서원,제조업
20400,대동금속,제조업
109860,동일금속,제조업
122800,썬텍,제조업
291210,한국제7호스팩,금융 및 보험업
1290,골든브릿지증권,금융 및 보험업
262830,대신밸런스제4호스팩,금융 및 보험업
284620,하나금융11호스팩,금융 및 보험업
277480,신한제4호스팩,금융 및 보험업
270520,하나금융10호스팩,금융 및 보험업
273060,엔에이치스팩12호,금융 및 보험업
1510,SK증권,금융 및 보험업
240540,한국4호스팩,금융 및 보험업
226340,에이치엠씨3호스팩,금융 및 보험업
261200,하나금융9호스팩,금융 및 보험업
253590,대신밸런스제3호스팩,금융 및 보험업
3530,한화투자증권,금융 및 보험업
1270,부국증권,금융 및 보험업
239340,미래에셋제5호스팩,금융 및 보험업
5940,NH투자증권,금융 및 보험업
16610,DB금융투자,금융 및 보험업
16360,삼성증권,금융 및 보험업
256630,엔에이치스팩10호,금융 및 보험업
287410,유안타제3호스팩,금융 및 보험업
225430,IBKS제3호스팩,금융 및 보험업
279410,한화에이스스팩4호,금융 및 보험업
267320,교보7호스팩,금융 및 보험업
256840,엔에이치스팩11호,금융 및 보험업
1500,현대차증권,금융 및 보험업
3540,대신증권,금융 및 보험업
281410,한국제6호스팩,금융 및 보험업
230240,하나금융7호SPAC,금융 및 보험업
232270,케이비제9호스팩,금융 및 보험업
1200,유진증권,금융 및 보험업
276920,IBKS제7호스팩,금융 및 보험업
265920,한화수성스팩,금융 및 보험업
64850,에프앤가이드,금융 및 보험업
78020,이베스트투자증권,금융 및 보험업
1720,신영증권,금융 및 보험업
226440,동부스팩3호,금융 및 보험업
39490,키움증권,금융 및 보험업
250930,케이비제10호스팩,금융 및 보험업
232330,SK3호스팩,금융 및 보험업
258790,케이비제11호스팩,금융 및 보험업
227950,골든브릿지제4호스팩,금융 및 보험업
230490,동부제4호스팩,금융 및 보험업
204620,글로벌텍스프리,금융 및 보험업
277410,IBKS제8호스팩,금융 및 보험업
254120,IBKS제5호스팩,금융 및 보험업
264850,IBKS제6호스팩,금융 및 보험업
242040,교보비엔케이스팩,금융 및 보험업
6800,미래에셋대우,금융 및 보험업
3460,유화증권,금융 및 보험업
30610,교보증권,금융 및 보험업
265480,미래에셋대우스팩1호,금융 및 보험업
271740,한국제5호스팩,금융 및 보험업
1750,한양증권,금융 및 보험업
3470,유안타증권,금융 및 보험업
257730,신한제3호스팩,금융 및 보험업
235010,하이에이아이1호스팩,금융 및 보험업
8560,메리츠종금증권,금융 및 보험업
264290,한화에이스스팩3호,금융 및 보험업
281740,동부스팩5호,금융 및 보험업
30210,KTB투자증권,금융 및 보험업
32940,원익,도매 및 소매업
33320,제이씨현시스템,도매 및 소매업
93520,매커스,도매 및 소매업
5110,한창,도매 및 소매업
77500,유니퀘스트,도매 및 소매업
99220,SDN,도매 및 소매업
3010,혜인,도매 및 소매업
118000,우리들휴브레인,도매 및 소매업
32190,다우데이타,도매 및 소매업
65650,메디프론,도매 및 소매업
2700,신일산업,도매 및 소매업
36180,영인프런티어,도매 및 소매업
32790,엠젠플러스,도매 및 소매업
32680,소프트센,도매 및 소매업
51380,피씨디렉트,도매 및 소매업
4080,신흥,도매 및 소매업
50320,에이앤티앤,도매 및 소매업
16920,카스,도매 및 소매업
31330,에스에이엠티,도매 및 소매업
131220,대한과학,도매 및 소매업
140070,서플러스글로벌,도매 및 소매업
16170,카카오M,제조업
33050,제이엠아이,제조업
63440,SMLifeDesign,제조업
46940,우원개발,건설업
76340,관악산업,건설업
10960,삼호개발,건설업
138290,지성이씨에스,건설업
28100,동아지질,건설업
78160,메디포스트,제조업
207940,삼성바이오로직스,제조업
217730,강스템바이오텍,제조업
49180,셀루메드,제조업
950160,코오롱티슈진,제조업
203690,프로스테믹스,제조업
182400,에이티젠,제조업
187420,제노포커스,제조업
72020,중앙백신,제조업
65660,안트로젠,제조업
5690,파미셀,제조업
196300,애니젠,제조업
191420,테고사이언스,제조업
102940,코오롱생명과학,제조업
48530,인트론바이오,제조업
114450,KPX생명과학,제조업
31390,녹십자셀,제조업
49960,쎌바이오텍,제조업
214370,케어젠,제조업
183490,엔지켐생명과학,제조업
68270,셀트리온,제조업
86900,메디톡스,제조업
145020,휴젤,제조업
200130,콜마비앤에이치,제조업
214390,경보제약,제조업
85660,차바이오텍,제조업
87010,펩트론,제조업
25000,KPX케미칼,제조업
6890,태경화학,제조업
131100,리켐,제조업
11170,롯데케미칼,제조업
171010,램테크놀러지,제조업
14830,유니드,제조업
239890,피엔에이치테크,제조업
1340,백광산업,제조업
5290,동진쎄미켐,제조업
5950,이수화학,제조업
101240,씨큐브,제조업
6650,대한유화,제조업
170920,엘티씨,제조업
104830,원익머트리얼즈,제조업
251370,와이엠티,제조업
161000,애경유화,제조업
23450,동남합성,제조업
15890,태경산업,제조업
33500,동성화인텍,제조업
187790,나노,제조업
12610,경인양행,제조업
268280,미원에스씨,제조업
36490,SK머티리얼즈,제조업
14680,한솔케미칼,제조업
65940,바이오빌,제조업
51910,LG화학,제조업
4000,롯데정밀화학,제조업
1570,금양,제조업
7770,한일화학,제조업
217910,에스제이켐,제조업
11780,금호석유화학,제조업
5190,동성화학,제조업
298000,효성화학,제조업
10060,OCI,제조업
1390,KG케미칼,제조업
6380,카프로,제조업
7690,국도화학,제조업
9830,한화케미칼,제조업
2360,SH에너지화학,제조업
93370,후성,제조업
10640,진양폴리우레탄,제조업
120240,대정화금,제조업
246250,에스엘에스바이오,"전문, 과학 및 기술 서비스업"
221800,유투바이오,"전문, 과학 및 기술 서비스업"
46120,오르비텍,"전문, 과학 및 기술 서비스업"
187220,디티앤씨,"전문, 과학 및 기술 서비스업"
72990,에이치시티,"전문, 과학 및 기술 서비스업"
180400,캔서롭,"전문, 과학 및 기술 서비스업"
67280,멀티캠퍼스,교육 서비스업
176560,포인트엔지니어링,제조업
7460,에이프로젠KIC,제조업
4780,대륙제관,제조업
53660,현진소재,제조업
110660,세신버팔로,제조업
24940,PN풍년,제조업
33310,디케이디앤아이,제조업
6570,대림통상,제조업
53620,태양,제조업
7530,영신금속,제조업
120030,조선선재,제조업
44490,태웅,제조업
4450,삼화왕관,제조업
258050,테크트랜스,제조업
81150,티플랙스,제조업
17510,세명전기,제조업
24880,케이피에프,제조업
73640,삼원테크,제조업
138070,신진에스엠,제조업
19210,와이지-원,제조업
119500,포메탈,제조업
93380,풍강,제조업
54410,케이피티유,제조업
49830,승일,제조업
2020,코오롱,금융 및 보험업
229640,LS전선아시아,금융 및 보험업
12320,경동인베스트,금융 및 보험업
900080,에스앤씨엔진그룹,금융 및 보험업
13570,디와이,금융 및 보험업
